ad_id,visitorEmail,clickedOrNot,stayTime
64d4e9ff3709c058de9809ec,promod@yopmail.com,0,3.0
64d4e66e3709c058de9809cb,kalipopup1@yopmail.com,1,4.0
64d9af723709c058de980f8d,kalipopup1@yopmail.com,1,1.0
64d9af9d3709c058de980f94,kalipopup1@yopmail.com,1,1.0
64d9af4d3709c058de980f86,kalipopup1@yopmail.com,1,1.0
64d4e66e3709c058de9809cb,basanta.learner@yopmail.com,1,30.0
64d9af9d3709c058de980f94,basanta.learner@yopmail.com,0,5.0
64d9af723709c058de980f8d,basanta.learner@yopmail.com,1,1.0
64d9af4d3709c058de980f86,basanta.learner@yopmail.com,1,1.0
64d4e66e3709c058de9809cb,kalisplash1@yopmail.com,1,16.0
64d9af9d3709c058de980f94,kalisplash1@yopmail.com,0,1.0
64d9af723709c058de980f8d,kalisplash1@yopmail.com,0,1.0
64d9af4d3709c058de980f86,kalisplash1@yopmail.com,0,1.0
64d9af723709c058de980f8d,kalichy@yopmail.com,1,1.0
64d9af9d3709c058de980f94,kalichy@yopmail.com,0,1.0
64d9af4d3709c058de980f86,kalichy@yopmail.com,1,1.0
64d4e66e3709c058de9809cb,kalichy@yopmail.com,0,6.0
64d9af723709c058de980f8d,floriantester@yopmail.com,1,1.0
64d9af4d3709c058de980f86,floriantester@yopmail.com,1,1.0
64d9af9d3709c058de980f94,floriantester@yopmail.com,1,1.0
64d9af9d3709c058de980f94,test.developer@yopmail.com,1,1.0
64d9af723709c058de980f8d,test.developer@yopmail.com,1,1.0
64d9af4d3709c058de980f86,test.developer@yopmail.com,1,1.0
64e585972af107d314490df6,basanta.learner@yopmail.com,0,2.0
64e585972af107d314490df6,mahaju82@gmail.com,1,1.0
64d9af9d3709c058de980f94,mahaju82@gmail.com,1,1.0
64d9af723709c058de980f8d,mahaju82@gmail.com,1,1.0
64e585972af107d314490df6,prashant.chaulagain+member@olivegroup.io,1,1.0
64d9af9d3709c058de980f94,prashant.chaulagain+member@olivegroup.io,1,1.0
64d9af723709c058de980f8d,prashant.chaulagain+member@olivegroup.io,1,1.0
64e585972af107d314490df6,basanta.tester2@yopmail.com,1,1.0
64d9af723709c058de980f8d,basanta.tester2@yopmail.com,1,1.0
64d9af9d3709c058de980f94,basanta.tester2@yopmail.com,1,1.0
64e585972af107d314490df6,kalichy@yopmail.com,0,2.0
64d9af723709c058de980f8d,basanta.tester3@yopmail.com,1,1.0
64e585972af107d314490df6,basanta.tester3@yopmail.com,1,1.0
64d9af9d3709c058de980f94,basanta.tester3@yopmail.com,1,1.0
64e585972af107d314490df6,kalisplash1@yopmail.com,0,3.0
64d9af2b3709c058de980f7f,kalisplash1@yopmail.com,0,1.0
64e5f6fdf0506b6f453b0c46,kalisplash1@yopmail.com,0,1.0
64e5f6fdf0506b6f453b0c46,kalichy@yopmail.com,0,1.0
64e5f6fdf0506b6f453b0c46,basanta.learner@yopmail.com,0,17.0
64d9af2b3709c058de980f7f,kalichy@yopmail.com,1,1.0
64d9aeef3709c058de980f64,kalichy@yopmail.com,1,1.0
64e5f6fdf0506b6f453b0c46,demo12355@yopmail.com,1,1.0
64e585972af107d314490df6,demo12355@yopmail.com,1,1.0
64d9af9d3709c058de980f94,demo12355@yopmail.com,1,1.0
64e5f6fdf0506b6f453b0c46,ganeshstha977@yopmail.com,1,1.0
64e585972af107d314490df6,ganeshstha977@yopmail.com,1,1.0
64d9af9d3709c058de980f94,ganeshstha977@yopmail.com,1,1.0
64d9af2b3709c058de980f7f,basanta.learner@yopmail.com,0,2.0
64e730a70bc46ae6cdda5f85,basanta.learner@yopmail.com,0,1.0
64e730a70bc46ae6cdda5f85,kalisplash1@yopmail.com,0,1.0
64e730a70bc46ae6cdda5f85,kalichy@yopmail.com,0,1.0
64e730a70bc46ae6cdda5f85,ganeshstha977@yopmail.com,1,1.0
64d9af723709c058de980f8d,ganeshstha977@yopmail.com,1,1.0
64d9af4d3709c058de980f86,ganeshstha977@yopmail.com,1,1.0
64d9af2b3709c058de980f7f,ganeshstha977@yopmail.com,1,1.0
64d9aeef3709c058de980f64,ganeshstha977@yopmail.com,0,2.0
64e730a70bc46ae6cdda5f85,gamification.learner2@yopmail.com,1,1.0
64e585972af107d314490df6,gamification.learner2@yopmail.com,1,1.0
64e5f6fdf0506b6f453b0c46,gamification.learner2@yopmail.com,1,1.0
64e8510aa80aee74d3336109,basanta.learner@yopmail.com,0,5.0
64e84fe3a80aee74d3336102,basanta.learner@yopmail.com,1,1.0
64e8510aa80aee74d3336109,kalichy@yopmail.com,1,1.0
64e84fe3a80aee74d3336102,kalichy@yopmail.com,1,1.0
64d4e9ff3709c058de9809ec,kalisplash1@yopmail.com,1,1.0
64e86acda80aee74d33361c7,kalichy@yopmail.com,1,1.0
64d4e9ff3709c058de9809ec,kalichy@yopmail.com,1,1.0
64e86acda80aee74d33361c7,kalisplash1@yopmail.com,1,1.0
64e8510aa80aee74d3336109,kalisplash1@yopmail.com,1,1.0
64e84fe3a80aee74d3336102,kalisplash1@yopmail.com,1,1.0
64e8510aa80aee74d3336109,sujan@alpastechnology.com,1,1.0
64e730a70bc46ae6cdda5f85,sujan@alpastechnology.com,1,1.0
64e86acda80aee74d33361c7,sujan@alpastechnology.com,1,1.0
